escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
p5_m2_aleatoria,ponderado,clasico,1000,123745.54399378035,16635.654143377127,91139.66187276118,156351.4261147995,False,True,47.630872170475385,6.1171579648165295,35.641242559434986,59.620501781515785,False,True,0.03200038801386938,0.0037310357489087884,0.024687557946008156,0.039313218081730605,False,True,0.05,2.0,aleatoria
p5_m2_aleatoria,truncada,clasico,1000,770270.53234814,88031.21797690324,597729.3451134097,942811.7195828704,False,True,242.26368390536575,15.578954591141038,211.7289329067293,272.7984349040022,False,True,0.15833976225455704,0.009654558969304975,0.13941682667471927,0.1772626978343948,False,True,0.05,2.0,aleatoria
p5_m2_tardia,mediana,clasico,1000,28383.51887803446,12672.955439357132,3544.526216894483,53222.51153917444,False,True,12.645144716122216,6.111610488179764,0.6663881592898786,24.623901272954555,False,True,0.00533980803261832,0.003811889877798636,-0.002131496127867006,0.012811112193103647,False,False,0.05,2.0,tardia
p5_m2_tardia,ponderado,clasico,1000,123015.13612217623,16872.716039680043,89944.61268440334,156085.65955994913,False,True,51.46314003738043,5.833413846189861,40.0296488988483,62.89663117591255,False,True,0.033173984060988614,0.0035843961255148777,0.026148567654979454,0.04019940046699777,False,True,0.05,2.0,tardia
p5_m2_tardia,truncada,clasico,1000,607609.3429245016,76124.66497899966,458404.9995656623,756813.6862833409,False,True,214.00275962108668,14.304589353709181,185.9657644878167,242.03975475435666,False,True,0.13887753509051617,0.008819848366911584,0.12159063229136947,0.1561644378896629,False,True,0.05,2.0,tardia
p5_m2_temprana,mediana,clasico,1000,25270.49259211859,11197.671872072351,3323.0557228567814,47217.929461380394,False,True,8.642434536654955,5.6454143726627155,-2.422577633763968,19.707446707073878,False,False,0.004185517032429605,0.003490217911315957,-0.0026553100737496706,0.01102634413860888,False,False,0.05,2.0,temprana
p5_m2_temprana,ponderado,clasico,1000,102466.77651518982,13543.652719886737,75921.21718421181,129012.33584616783,False,True,43.338170163049526,6.012480924418775,31.553707551188726,55.12263277491033,False,True,0.029572628102109987,0.0036910856620571172,0.02233810020447804,0.036807155999741936,False,True,0.05,2.0,temprana
p5_m2_temprana,truncada,clasico,1000,581753.6290952039,95199.83604429824,395161.9504483794,768345.3077420285,False,True,220.7345311401735,15.661923560701592,190.03716096119837,251.4319013191486,False,True,0.14576463552915214,0.00983511693011118,0.12648780634613424,0.16504146471217004,False,True,0.05,2.0,temprana
p5_m5_aleatoria,mediana,clasico,1000,-341677.94807651034,143634.22269282173,-623201.024554441,-60154.871598579746,True,False,-107.4809334084368,15.708635660039226,-138.26985930211367,-76.69200751475992,True,False,-0.07018595114617047,0.010111936846811527,-0.09000534736592107,-0.05036655492641988,True,False,0.05,5.0,aleatoria
p5_m5_aleatoria,ponderado,clasico,1000,199852.99203811158,137570.00565368193,-69784.219043105,469490.20311932813,False,False,-9.40339096710351,14.06594152489459,-36.97263635589691,18.165854421689886,False,False,-0.004662711850748854,0.009058056136233127,-0.022416501877765782,0.013091078176268076,False,False,0.05,5.0,aleatoria
p5_m5_aleatoria,truncada,clasico,1000,3077893.508817437,496559.0630569894,2104637.745225738,4051149.2724091364,False,True,536.7821117884439,28.006056680123457,481.8902406954019,591.6739828814859,False,True,0.33972363760534996,0.018403346371368992,0.3036530787174667,0.3757941964932332,False,True,0.05,5.0,aleatoria
p5_m5_tardia,mediana,clasico,1000,-30784.048627876535,68690.98189581693,-165418.37314367772,103850.27588792465,False,False,-21.127150789416778,8.947929089099143,-38.6650918040511,-3.589209774782457,True,False,-0.017388181395986777,0.005559570294124574,-0.028284939172470942,-0.006491423619502612,True,False,0.05,5.0,tardia
